Dist_or_Undist,Stat_Name,Date,Flow_GPM,pH,TDS(mg_L),TSS(mg_L),TSM(ml_L),TotalFe(mg_L),TotalMn(mg_L)
disturbed,,8/8/1994,29,5.31,542,8,< 0.1,0.33,3.5
disturbed,,12/21/1994,290,,305,5,< 0.1,0.86,0.35
disturbed,,3/10/1995,1931,6.78,390,5,< 0.1,0.69,0.24
disturbed,,4/5/1995,319,6.58,274,7,< 0.1,2.14,1.53
disturbed,,9/27/1995,No Flow Rec.,8.65,333,9,< 0.1,0.19,0.4
disturbed,,12/31/1995,No Flow Rec.,6.39,253,2,< 0.1,0.4,0.71
disturbed,,1/8/1996,106,6.8,390,4,< 0.1,0.75,0.8
disturbed,,6/25/1996,No Flow Rec.,6.9,466,3,< 0.1,1.16,0.44
disturbed,,9/25/1996,No Flow Rec.,6.8,390,4,< 0.1,0.75,0.8
disturbed,,10/29/1996,No Flow Rec.,6.61,392,4,< 0.1,1.68,1.09
disturbed,,6/10/1997,14,6.18,226,8,,1.92,1.17
disturbed,,9/23/1997,No Flow Rec.,5.51,864,16,,2.01,3.03
disturbed,,12/3/1997,1913,6.78,372,3,,0.26,0.11
disturbed,,3/10/1998,312,6.69,394,1,,0.55,0.28
disturbed,,3/16/1998,2735,6.7,372,11,,1.53,0.34
disturbed,,4/29/1998,24,6.05,304,4,,1.01,0.55
disturbed,,10/22/1998,419,6.51,341,4,,0.55,0.21
disturbed,,12/9/1998,1049,6.7,401,3,,0.56,0.24
disturbed,,1/29/1999,5505,6.97,301,14,,1.68,0.12
disturbed,,3/10/1999,477,6.42,424,2,,0.41,0.15
disturbed,,4/15/1999,763,6.53,467,6,,0.67,0.16
disturbed,,6/21/1999,20,6.66,397,23,,1.14,4.93
disturbed,,9/30/1999,No Flow,,,,,,
disturbed,,12/6/1999,11,4.35,1730,2,,0.7,7.7
disturbed,,12/9/1999,17,4.37,2157,5,,0.62,17.1
disturbed,,3/27/2000,758,6.71,426,4,<0.1,0.461,0.115
disturbed,,5/1/2000,1097,6.53,456,2,<0.1,1.035,0.23
disturbed,,9/20/2000,No Flow,,,,,,
disturbed,,11/27/2000,380,6.56,364,< 1,<0.1,0.163,0.16
disturbed,,1/16/2001,1587,6.65,262,9,<0.1,0.796,0.137
disturbed,,6/27/2001,823,7.88,182,< 1,<0.1,0.1,0.07
disturbed,,9/28/2001,No Flow,,,,,,
disturbed,,10/16/2001,215,6.3,256,2,<0.1,0.489,0.183
disturbed,,1/25/2002,315,7.25,380,5,<0.1,1.597,0.359
disturbed,,6/11/2002,2362,6.59,300,<1,<0.1,1.885,1.445
disturbed,,9/30/2002,39242,8.8,372,4,<0.1,0.243,0.073
disturbed,,12/5/2002,1605,7.11,360,4,<0.1,0.486,0.074
disturbed,,2/20/2003,2035,6.56,<1,8,,1.661,0.07
disturbed,,6/18/2003,755,6.45,264,6,<0.1,0.636,0.272
disturbed,,8/12/2003,991,6.31,262,7,<0.1,0.279,0.118
disturbed,,11/20/2003,356,7.15,232,4,<0.1,0.703,0.271
disturbed,,3/5/2004,2580,6.77,254,11,<0.1,2.497,0.493
disturbed,,5/7/2004,381,6.68,284,1,<0.1,1.138,0.658
disturbed,,9/27/2004,696,6.05,330,8,<0.1,1.317,1.306
disturbed,,10/8/2004,244,6.45,252,13,<0.1,1.377,1.196
disturbed,,2/28/2005,400,6.5,410,7,<0.1,1.401,1.089
disturbed,,6/24/2005,1106,7.03,384,11,<0.1,0.801,0.973
disturbed,,9/26/2005,Not Enough Flow for Sample,,,,,,
disturbed,,12/6/2005,No Flow,,,,,,
disturbed,,1/23/2006,548,6.12,338,14,<0.1,0.615,1.04
disturbed,,6/30/2006,186,9.94,374,22,<0.1,0.636,0.219
disturbed,,7/27/2006,778,8.3,282,45,<0.1,1.59,0.402
disturbed,,10/17/2006,69,6.96,286,12,<0.1,4.73,1.5
disturbed,,2/13/2007,1179,6.81,390,15,<0.1,1.61,0.856
disturbed,,5/28/2007,51,6.56,450,24,< 0.1,3.71,1.1
disturbed,,9/24/2007,37,8.59,348,8,< 0.1,0.216,0.524
disturbed,,12/18/2007,13,7.66,310,8,< 0.1,0.302,0.483
disturbed,,2/19/2008,341,7.01,288,17,< 0.1,0.766,0.535
disturbed,,7/3/2008,27,7.08,246,10,< 0.1,0.981,1.44
disturbed,,9/22/2008,17,7.45,452,22,< 0.1,1.16,4.83
disturbed,,12/17/2008,148,7.15,274,8,< 0.1,2.89,0.507
disturbed,,3/12/2009,No Flow Rec.,6.71,442,19,< 0.1,2.27,1.14
disturbed,,6/18/2009,102,7.06,490,11,< 0.1,0.537,0.648
disturbed,,9/21/2009,63,7.11,298,13,< 0.1,4.19,0.655
disturbed,,10/7/2009,,7.26,310,13,< 0.1,0.376,0.243
disturbed,,3/30/2010,6,7.33,456,12,< 0.1,0.759,0.599
disturbed,,6/22/2010,,8.55,74,18,< 0.1,4.61,0.188
disturbed,,7/13/2010,8323,7.5,376,10,< 0.1,0.484,0.357
disturbed,,12/8/2010,26,7.43,358,7,< 0.1,1.07,1.77
disturbed,,3/30/2011,62,7.67,420,2,< 0.1,0.271,1.73
disturbed,,5/1/2011,No Flow,,,,,,
disturbed,,9/1/2011,No Flow,,,,,,
disturbed,,12/31/2011,No Flow,,,,,,
disturbed,,3/27/2012,370,7.03,484,7,< 0.1,2.183,1.21
disturbed,,6/30/2012,No Flow,,,,,,
disturbed,,9/1/2012,No Flow,,,,,,
disturbed,,10/2/2012,60,7.24,380,10,< 0.1,0.236,0.566
disturbed,,3/18/2013,21,7.26,516,3,< 0.1,0.847,0.685
disturbed,,6/28/2013,No Flow,,,,,,
disturbed,,9/30/2013,No Flow,,,,,,
disturbed,,12/15/2013,276,7.02,364,4.4,< 0.1,0.776,0.58
disturbed,,3/18/2014,218,7.8,472,5.5,< 0.1,0.758,0.529
disturbed,,5/30/2014,40,7.57,424,7,< 0.1,0.651,0.248
disturbed,,9/29/2014,No Flow,,,,,,
disturbed,,12/13/2014,117,7.5,380,9,0.1,0.689,0.858
baseline,,4/26/1988,54,6.8,324,2,< 0.1,0.26,0.09
baseline,,5/16/1988,Dry,,,,,,
baseline,,6/27/1988,27,7.2,446,10,< 0.1,0.37,
baseline,,7/20/1988,40,6.8,438,12,< 0.1,0.47,0.29
baseline,,8/17/1988,76,7.1,496,6,< 0.1,0.35,
baseline,,9/27/1988,90,7,388,5,< 0.1,0.33,0.75
baseline,,10/25/1988,229,7.6,382,2,< 0.1,0.12,0.07
baseline,,11/17/1988,714,7.4,285,10,< 0.1,0.25,0.24
baseline,,12/12/1988,849,7.5,244,8,< 0.1,0.47,
baseline,,1/13/1989,21866,6.9,283,20,< 0.1,0.75,0.21
baseline,,2/27/1989,207,6.9,263,4,< 0.1,0.67,0.25
baseline,,3/23/1989,220,6.8,342,4,< 0.1,0.56,0.29
